epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,164.474,0.32284,0.43791,0.45363,0.82893,0.1569,0.95625,0.25324,0.24267,0.1569,0.95625,0.25145,0.23243,0.28988,0.52448,5.73975,0.78604,0.000831194,0.000831194,0.000831194
59,167.319,0.3272,0.38488,0.46938,0.82013,0.15862,0.91458,0.24277,0.22995,0.15862,0.91458,0.24016,0.22508,0.30991,0.52025,6.33332,0.7833,0.000828525,0.000828525,0.000828525
60,170.13,0.32212,0.37106,0.50079,0.82113,0.15499,0.88803,0.23334,0.22241,0.15499,0.88803,0.23095,0.21183,0.30295,0.84034,6.60781,0.78412,0.000825816,0.000825816,0.000825816
61,172.967,0.32074,0.40005,0.48165,0.82738,0.16825,0.88333,0.25501,0.24601,0.16825,0.88333,0.25501,0.23589,0.29217,0.74913,6.3697,0.78148,0.000823066,0.000823066,0.000823066
62,175.776,0.31651,0.41174,0.51817,0.8191,0.16317,0.96667,0.24081,0.23137,0.16317,0.96667,0.24081,0.2262,0.29647,0.4834,5.35841,0.78509,0.000820277,0.000820277,0.000820277
63,178.614,0.32521,0.45945,0.47538,0.82529,0.16036,0.96667,0.24014,0.22979,0.16036,0.96667,0.24014,0.2224,0.27536,0.59155,6.15827,0.78096,0.000817448,0.000817448,0.000817448
64,181.414,0.32234,0.42208,0.53139,0.82476,0.1596,0.95153,0.22329,0.20946,0.1596,0.95153,0.22329,0.20021,0.30352,0.62988,5.76289,0.78396,0.000814579,0.000814579,0.000814579
65,184.272,0.33131,0.40956,0.51135,0.82413,0.1607,0.92917,0.21157,0.19772,0.15543,0.8875,0.20288,0.18415,0.30784,0.80006,5.46349,0.78912,0.000811672,0.000811672,0.000811672
66,187.204,0.31118,0.44249,0.52661,0.81925,0.16822,0.92917,0.22956,0.21698,0.16822,0.92917,0.22788,0.21179,0.28971,0.49313,5.41486,0.77954,0.000808726,0.000808726,0.000808726
67,190.071,0.32726,0.39946,0.4956,0.82691,0.15939,0.93781,0.22829,0.21365,0.15939,0.93781,0.22648,0.20869,0.26817,0.60814,5.02283,0.78005,0.000805741,0.000805741,0.000805741
